request_id,ticket_id,query,status,sop_id,latency_ms,confidence_score,revision_count,success,before_response,after_response,retrieved_context_count
req-64ac9925ab98,tkt-41882d88fa,The food was bad and I want a refund,Auto-Resolved,refund_not_received,801.846,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-2aa9a96dcb9a,tkt-12a6f8f6b6,My refund has not arrived yet,Auto-Resolved,refund_not_received,624.03,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-ce625be6009c,tkt-58fd1bc82c,I was charged twice for the same order,Auto-Resolved,refund_not_received,602.468,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-b58f2b4e9473,tkt-4f04c54526,I cannot log in because the OTP never arrived,Auto-Resolved,login_issue,663.19,1.0,0,True,"I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.","I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.",4
req-46c096e3c00b,tkt-f8ecc8a99b,My account is locked after multiple sign-in attempts,Escalated,,161.812,0.0,0,False,,This request does not match a supported deterministic SOP yet. Please escalate it to a human agent.,0
req-1babd9a781e3,tkt-2e5f19a7b0,I need help with an unsupported enterprise request,Escalated,,152.262,0.0,0,False,,This request does not match a supported deterministic SOP yet. Please escalate it to a human agent.,0
req-41ee1deeded1,tkt-2699e544c7,The food was bad and I want a refund,Auto-Resolved,refund_not_received,751.586,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-4b3c92a6fe46,tkt-0a8f00026b,My refund has not arrived yet,Auto-Resolved,refund_not_received,757.118,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-fba303154dc5,tkt-f1fd8e2a3a,I was charged twice for the same order,Auto-Resolved,refund_not_received,1702.346,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-1d3532464ce8,tkt-cb5c754e2e,I cannot log in because the OTP never arrived,Auto-Resolved,login_issue,1065.187,1.0,0,True,"I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.","I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.",4
req-8ddd7d32bbfd,tkt-72376d9946,My account is locked after multiple sign-in attempts,Escalated,,100.846,0.0,0,False,,This request does not match a supported deterministic SOP yet. Please escalate it to a human agent.,0
req-9945c19bbe4d,tkt-45e6f9f0e9,I need help with an unsupported enterprise request,Escalated,,133.907,0.0,0,False,,This request does not match a supported deterministic SOP yet. Please escalate it to a human agent.,0
req-00a128779dee,tkt-126e5cea8d,The food was bad and I want a refund,Auto-Resolved,refund_not_received,602.167,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-6db7108c816c,tkt-2a34687051,My refund has not arrived yet,Auto-Resolved,refund_not_received,602.309,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-49ee7a0cbedc,tkt-65cb9a656d,I was charged twice for the same order,Auto-Resolved,refund_not_received,863.207,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-45bd603c0872,tkt-3eb2ec6ab9,I cannot log in because the OTP never arrived,Auto-Resolved,login_issue,685.115,1.0,0,True,"I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.","I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.",4
req-16ccca21e53b,tkt-50be835e0f,My account is locked after multiple sign-in attempts,Escalated,,151.857,0.0,0,False,,This request does not match a supported deterministic SOP yet. Please escalate it to a human agent.,0
req-c4245ef7f199,tkt-ffda7d00fd,I need help with an unsupported enterprise request,Escalated,,139.558,0.0,0,False,,This request does not match a supported deterministic SOP yet. Please escalate it to a human agent.,0
req-d39938d185f6,tkt-26cc657c54,The food was bad and I want a refund,Auto-Resolved,refund_not_received,723.786,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports refund not processed in the billing module. Needs immediate assistance. User reports refund not processed in the billing module. Needs immediate assistance. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-e4c5d3a5b67a,tkt-ec13b5ce6c,My refund has not arrived yet,Auto-Resolved,refund_not_received,757.681,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: Facing issue: refund not processed. Occurs repeatedly when accessing billing features. Customer experiencing refund not processed. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-bc53175ffbf7,tkt-391b556c48,I was charged twice for the same order,Auto-Resolved,refund_not_received,1233.25,1.0,0,True,"I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.","I checked the refund support guidance for your case. Based on the available context: User reports charged twice in the billing module. Needs immediate assistance. Customer experiencing charged twice. Requires troubleshooting steps for billing. Please reply with your order ID, refund request date, and payment method if you want us to verify the refund timeline.",4
req-f8447dd3b9c1,tkt-7776046094,I cannot log in because the OTP never arrived,Auto-Resolved,login_issue,795.309,1.0,0,True,"I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.","I checked the login support guidance for your case. Based on the available context: Facing issue: OTP not received. Occurs repeatedly when accessing login features. Facing issue: OTP not received. Occurs repeatedly when accessing login features. Please reply with your email, approximate time of the last login attempt, and device or browser if you want us to verify the login path.",4
req-71c6d7637a2d,tkt-e476caf6a1,My account is locked after multiple sign-in attempts,Escalated,,140.665,0.0,0,False,,This request does not match a supported deterministic SOP yet. Please escalate it to a human agent.,0
req-2a1ac401913b,tkt-3c4bbb5c0a,I need help with an unsupported enterprise request,Escalated,,168.48,0.0,0,False,,This request does not match a supported deterministic SOP yet. Please escalate it to a human agent.,0
